slot,total_delivered_bits
0,82653.0
1,82668.0
2,82650.0
3,82688.0
4,82608.0
5,82645.0
6,82645.0
7,82733.0
8,82703.0
9,82733.0
10,82711.0
11,82704.0
12,82756.0
13,82639.0
14,82786.0
15,82627.0
16,82698.0
17,82616.0
18,82718.0
19,82765.0
20,82695.0
21,82730.0
22,82609.0
23,82699.0
24,82669.0
25,82668.0
26,82706.0
27,82753.0
28,82679.0
29,82755.0
30,82721.0
31,82592.0
32,82620.0
33,82707.0
34,82674.0
35,82680.0
36,82631.0
37,82645.0
38,82676.0
39,82707.0
40,82570.0
41,82705.0
42,82654.0
43,82688.0
44,82692.0
45,82746.0
46,82607.0
47,82614.0
48,82619.0
49,82613.0
50,82720.0
51,82633.0
52,82582.0
53,82693.0
54,82824.0
55,82631.0
56,82743.0
57,82621.0
58,82696.0
59,82667.0
60,82697.0
61,82638.0
62,82587.0
63,82673.0
64,82563.0
65,82683.0
66,82683.0
67,82638.0
68,82596.0
69,82636.0
70,82670.0
71,82612.0
72,82572.0
73,82745.0
74,82663.0
75,82628.0
76,82669.0
77,82657.0
78,82607.0
79,82672.0
80,82659.0
81,82681.0
82,82668.0
83,82623.0
84,82722.0
85,82633.0
86,82748.0
87,82734.0
88,82629.0
89,82691.0
90,82644.0
91,82697.0
92,82578.0
93,82672.0
94,82678.0
95,82684.0
96,82683.0
97,82659.0
98,82716.0
99,82726.0
100,82602.0
101,82614.0
102,82717.0
103,82574.0
104,82730.0
105,82640.0
106,82707.0
107,82747.0
108,82716.0
109,82696.0
110,82831.0
111,82582.0
112,82637.0
113,82764.0
114,82723.0
115,82574.0
116,82725.0
117,82724.0
118,82706.0
119,82697.0
120,82684.0
121,82661.0
122,82673.0
123,82719.0
124,82752.0
125,82694.0
126,82688.0
127,82810.0
128,82587.0
129,82704.0
130,82669.0
131,82701.0
132,82690.0
133,82836.0
134,82718.0
135,82673.0
136,82582.0
137,82724.0
138,82644.0
139,82563.0
140,82649.0
141,82660.0
142,82645.0
143,82662.0
144,82593.0
145,82745.0
146,82704.0
147,82770.0
148,82647.0
149,82675.0
150,82613.0
151,82704.0
152,82647.0
153,82527.0
154,82661.0
155,82745.0
156,82791.0
157,82695.0
158,82697.0
159,82734.0
160,82656.0
161,82653.0
162,82663.0
163,82761.0
164,82661.0
165,82677.0
166,82631.0
167,82796.0
168,82666.0
169,82737.0
170,82673.0
171,82666.0
172,82613.0
173,82539.0
174,82710.0
175,82627.0
176,82702.0
177,82640.0
178,82560.0
179,82630.0
180,82718.0
181,82628.0
182,82722.0
183,82617.0
184,82667.0
185,82612.0
186,82702.0
187,82647.0
188,82724.0
189,82689.0
190,82645.0
191,82740.0
192,82657.0
193,82581.0
194,82611.0
195,82622.0
196,82689.0
197,82714.0
198,82765.0
199,82675.0
